	28-1	28-2	29-2	30-1	30-2	31-1	31-2	32-2	33-1	33-2	34-1	34-2	35-1	35-2	36-1 36-2 37-1 37-2 38-1 38-2
420	4.641E-07	4.871E-07	3.895E-07	0.000000356	3.857E-07	3.554E-07	3.839E-07	4.284E-07      3.845E-07			4.117E-07	      0.000000446	      0.000000475	    4.354E-07		  4.617E-07	      4.242E-07			    4.456E-07			    3.332E-07 3.583E-07	3.529E-07 3.719E-07
440	0.000000466	4.891E-07	3.898E-07	3.561E-07	0.000000386	0.000000356	0.000000385	4.289E-07      3.847E-07			4.121E-07	      4.462E-07		      4.753E-07		    4.357E-07		  4.622E-07	      4.245E-07			    4.438E-07			    3.337E-07 0.000000359	  3.534E-07 3.727E-07
460	4.678E-07	4.905E-07	0.00000039	3.562E-07	3.862E-07	3.564E-07	3.856E-07	4.292E-07      3.848E-07			4.123E-07	      4.463E-07		      4.755E-07		    4.359E-07		  4.626E-07	      4.247E-07			    4.457E-07			    3.341E-07 3.585E-07		  3.537E-07 3.733E-07
480	4.695E-07	4.919E-07	3.903E-07	3.562E-07	3.863E-07	3.567E-07	3.861E-07	4.294E-07      3.836E-07			4.125E-07	      4.464E-07		      4.756E-07		    4.362E-07		  4.619E-07	      0.000000425		    4.462E-07			    3.345E-07 3.597E-07		  3.542E-07 3.725E-07
500	4.711E-07	4.931E-07	3.905E-07	3.563E-07	3.864E-07	0.000000357	3.866E-07	4.297E-07      3.849E-07			4.127E-07	      4.466E-07		      4.757E-07		    4.367E-07		  4.632E-07	      4.255E-07			    4.467E-07			    3.351E-07 3.604E-07		  3.548E-07 3.741E-07
520	4.728E-07	4.944E-07	3.909E-07	3.565E-07	3.866E-07	3.573E-07	3.871E-07	4.302E-07      3.856E-07			4.131E-07	      4.458E-07		      4.758E-07		    4.359E-07		  0.000000464	      4.261E-07			    4.474E-07			    3.357E-07 3.612E-07		  3.554E-07 0.000000375
540	4.744E-07	4.955E-07	3.914E-07	3.568E-07	3.869E-07	3.575E-07	3.874E-07	4.307E-07      3.862E-07			4.135E-07	      4.472E-07		      4.761E-07		    4.374E-07		  4.647E-07	      4.266E-07			    0.000000448			    3.363E-07 3.618E-07		  0.000000356 3.758E-07
560	0.000000476	4.967E-07	0.000000392	3.572E-07	3.873E-07	3.577E-07	3.877E-07	4.313E-07      3.868E-07			4.141E-07	      4.479E-07		      4.765E-07		    0.000000438		  4.654E-07	      4.271E-07			    4.486E-07			    3.369E-07 3.625E-07		  3.566E-07   3.765E-07
580	4.775E-07	4.977E-07	3.926E-07	3.576E-07	3.879E-07	3.579E-07	0.000000388	4.318E-07      3.874E-07			4.146E-07	      4.485E-07		      4.757E-07		    4.386E-07		  4.661E-07	      4.276E-07			    4.492E-07			    3.375E-07 3.632E-07		  3.572E-07   3.772E-07
600	4.791E-07	4.988E-07	3.932E-07	3.581E-07	3.885E-07	0.000000358	3.883E-07	4.324E-07      0.000000388			4.152E-07	      4.491E-07		      0.000000477	    4.392E-07		  4.669E-07	      4.281E-07			    4.498E-07			    3.381E-07 3.639E-07		  3.579E-07   0.000000378
620	4.806E-07	4.998E-07	3.938E-07	3.586E-07	0.000000389	3.581E-07	3.884E-07	0.000000433    3.885E-07			4.157E-07	      4.496E-07		      4.777E-07		    4.397E-07		  4.676E-07	      4.286E-07			    4.504E-07			    3.386E-07 3.645E-07		  3.584E-07   3.786E-07
640	4.821E-07	5.008E-07	3.943E-07	3.591E-07	3.896E-07	3.582E-07	3.885E-07	4.335E-07      0.000000389			4.162E-07	      4.501E-07		      4.783E-07		    4.402E-07		  4.683E-07	      0.000000429		    0.000000451			    3.392E-07 3.652E-07		  0.000000359 3.793E-07
660	4.836E-07	5.018E-07	3.949E-07	3.595E-07	3.901E-07	3.582E-07	3.886E-07	0.000000434    3.895E-07			4.167E-07	      4.505E-07		      4.788E-07		    4.407E-07		  0.000000469	      4.295E-07			    4.516E-07			    3.383E-07 3.658E-07		  3.596E-07   0.00000038
680	4.851E-07	5.028E-07	3.954E-07	0.00000036	3.907E-07	3.583E-07	3.886E-07	4.345E-07      3.901E-07			4.148E-07	      0.000000451	      4.793E-07		    4.413E-07		  4.697E-07	      0.00000043		    4.522E-07			    3.399E-07 3.665E-07		  3.602E-07   3.807E-07
700	4.867E-07	5.038E-07	3.959E-07	3.605E-07	3.898E-07	3.583E-07	3.887E-07	4.351E-07      3.906E-07			4.167E-07	      4.515E-07		      4.799E-07		    4.419E-07		  4.704E-07	      4.292E-07			    4.528E-07			    3.407E-07 3.672E-07		  3.608E-07   3.814E-07
720	4.882E-07	5.048E-07	3.964E-07	0.000000361	0.000000391	3.584E-07	3.887E-07	4.355E-07      3.911E-07			4.175E-07	      4.519E-07		      4.803E-07		    4.425E-07		  4.711E-07	      4.307E-07			    4.535E-07			    3.413E-07 3.679E-07		  3.614E-07   3.821E-07
740	4.898E-07	5.058E-07	3.955E-07	3.615E-07	3.918E-07	3.585E-07	3.889E-07	4.345E-07      3.916E-07			4.182E-07	      4.523E-07		      4.808E-07		    4.431E-07		  4.719E-07	      4.315E-07			    4.542E-07			    3.419E-07 3.686E-07		  0.000000362 3.828E-07
760	4.914E-07	5.068E-07	3.969E-07	3.619E-07	3.924E-07	3.586E-07	0.000000389	0.000000436    3.921E-07			4.188E-07	      4.527E-07		      4.812E-07		    4.437E-07		  4.726E-07	      4.322E-07			    4.549E-07			    3.426E-07 3.693E-07		  3.626E-07   3.835E-07
780	4.921E-07	5.078E-07	3.976E-07	3.601E-07	0.000000393	3.589E-07	3.893E-07	4.368E-07      3.927E-07			4.195E-07	      4.532E-07		      4.817E-07		    4.445E-07		  4.735E-07	      4.329E-07			    4.557E-07			    3.433E-07 0.00000037	  3.633E-07   3.844E-07
800	4.942E-07	5.088E-07	3.982E-07	3.617E-07	3.936E-07	3.582E-07	3.896E-07	4.374E-07      3.933E-07			0.00000042	      4.536E-07		      4.822E-07		    4.452E-07		  4.743E-07	      4.336E-07			    4.565E-07			    0.000000344			  3.708E-07   0.000000364 3.851E-07
820	4.959E-07	5.098E-07	3.988E-07	3.625E-07	3.942E-07	3.589E-07	3.899E-07	0.000000438    3.938E-07			4.206E-07	      0.000000454	      4.826E-07		    0.000000446		  4.752E-07	      4.343E-07			    4.574E-07			    3.447E-07			  3.716E-07   3.647E-07	  0.000000386
840	4.975E-07	5.108E-07	3.994E-07	3.632E-07	3.948E-07	3.592E-07	3.903E-07	4.386E-07      3.944E-07			4.212E-07	      4.545E-07		      0.000000483	    4.468E-07		  4.762E-07	      4.352E-07			    4.583E-07			    3.455E-07			  3.724E-07   3.642E-07	  3.868E-07
860	4.992E-07	5.118E-07	0.0000004	3.639E-07	3.954E-07	3.596E-07	3.907E-07	4.393E-07      3.951E-07			4.219E-07	      0.000000455	      4.836E-07		    4.478E-07		  4.772E-07	      4.361E-07			    4.594E-07			    3.463E-07			  3.735E-07   0.000000366 3.878E-07
880	5.007E-07	5.127E-07	4.005E-07	3.645E-07	0.000000396	3.599E-07	3.911E-07	4.399E-07      3.957E-07			4.225E-07	      4.554E-07		      0.000000484	    4.487E-07		  4.783E-07	      0.000000437		    4.604E-07			    3.472E-07			  3.744E-07   0.000000367 3.887E-07
900	5.025E-07	5.137E-07	4.011E-07	3.651E-07	3.966E-07	3.603E-07	3.914E-07	4.406E-07      3.964E-07			4.232E-07	      4.559E-07		      4.845E-07		    4.497E-07		  4.794E-07	      0.000000438		    4.616E-07			    3.481E-07			  3.755E-07   3.679E-07	  3.897E-07
920	5.042E-07	5.139E-07	4.018E-07	3.657E-07	3.972E-07	3.607E-07	0.000000391	4.413E-07      3.971E-07			4.239E-07	      4.564E-07		      0.000000485	    4.508E-07		  4.807E-07	      0.000000439		    4.628E-07			    0.000000349			  3.771E-07   3.689E-07	  3.908E-07
940	5.059E-07	5.155E-07	4.025E-07	3.663E-07	3.979E-07	3.611E-07	3.919E-07	4.421E-07      0.000000398			4.247E-07	      0.000000457	      4.855E-07		    0.000000452		  0.000000482	      4.402E-07			    4.627E-07			    3.501E-07			  0.000000386 3.699E-07	  3.919E-07
960	5.076E-07	5.165E-07	4.031E-07	3.669E-07	3.985E-07	3.614E-07	3.924E-07	4.428E-07      3.987E-07			4.254E-07	      4.575E-07		      0.000000486	    4.532E-07		  4.833E-07	      4.414E-07			    4.653E-07			    3.512E-07			  4.297E-07   0.000000371 3.931E-07
980	5.092E-07	5.175E-07	4.038E-07	3.675E-07	3.992E-07	3.618E-07	3.928E-07	4.437E-07      3.982E-07			4.262E-07	      4.581E-07		      4.866E-07		    4.545E-07		  5.045E-07	      4.427E-07			    4.669E-07			    3.523E-07			  6.257E-07   3.721E-07	  0.000000393
1000	0.000000511	5.185E-07	4.045E-07	3.682E-07	3.999E-07	3.623E-07	3.933E-07	4.445E-07      4.001E-07			4.271E-07	      4.587E-07		      4.872E-07		    4.559E-07		  5.396E-07	      4.441E-07			    4.686E-07			    3.536E-07			  8.711E-07   3.732E-07	  3.953E-07
